"species","term","estimate","std.error","statistic","p.value","conf.low","conf.high","climate_zone"
"ACANTHOSTRACION POLYGONIA","(Intercept)",-178.538388030486,128.799245117174,-1.38617573315793,0.195821218655771,-465.520990182565,108.444214121593,"tropical"
"ACANTHOSTRACION POLYGONIA","year",0.0467686740327058,0.0638989718598523,0.731915908369889,0.481020871290799,-0.0956071077702087,0.18914445583562,"tropical"
"ACANTHOSTRACION QUADRICORNIS","(Intercept)",-59.9088582314164,37.4129334050976,-1.6012873832356,0.1403960155163,-143.27006871809,23.4523522552567,"subtropical"
"ACANTHOSTRACION QUADRICORNIS","year",-0.0116420449767588,0.0185610402970296,-0.627230197793493,0.544562651086736,-0.0529986199958533,0.0297145300423356,"subtropical"
"ACHIRUS LINEATUS","(Intercept)",462.56309379727,1891.34015050501,0.244568960096236,0.814939297369309,-4165.37953501975,5090.50572261429,"tropical"
"ACHIRUS LINEATUS","year",-0.273519385808633,0.939212124684009,-0.291222162299765,0.780686755313798,-2.57168866443698,2.02464989281971,"tropical"
"ALUTERUS HEUDELOTII","(Intercept)",-67.3514579772526,85.3428327944549,-0.789187044440699,0.448309412578948,-257.507139465146,122.804223510641,"tropical"
"ALUTERUS HEUDELOTII","year",-0.0084040670557909,0.042339683483485,-0.198491494606213,0.846637830575798,-0.102742760806145,0.0859346266945635,"tropical"
"ALUTERUS MONOCEROS","(Intercept)",-104.378765915536,367.370648753171,-0.284123857661983,0.78453615481985,-973.072311280659,764.314779449586,"subtropical"
"ALUTERUS MONOCEROS","year",0.010080896764713,0.182207082203799,0.0553265912761696,0.957424292822175,-0.420770388626349,0.440932182155775,"subtropical"
"ALUTERUS SCHOEPFII","(Intercept)",-74.6107748728719,32.0733411953428,-2.32625514187795,0.042319391479482,-146.074632503227,-3.14691724251675,"subtropical"
"ALUTERUS SCHOEPFII","year",-0.00436755538564786,0.0159119995200917,-0.274481870121543,0.789301250908313,-0.0398216997291511,0.0310865889578554,"subtropical"
"ALUTERUS SCRIPTUS","(Intercept)",-199.900404546859,192.755964447463,-1.03706469016342,0.334196528022608,-655.695832718487,255.895023624769,"subtropical"
"ALUTERUS SCRIPTUS","year",0.0568577528923997,0.0956182078508033,0.594633116122788,0.570800709020488,-0.169243380285449,0.282958886070249,"subtropical"
"ANCHOA HEPSETUS","(Intercept)",-271.534705260366,195.245127281909,-1.39073742346616,0.194474916593989,-706.567959018193,163.498548497461,"subtropical"
"ANCHOA HEPSETUS","year",0.0890525657691854,0.0968636336541419,0.919360160358567,0.379549538605525,-0.126773059720173,0.304878191258544,"subtropical"
"ANCHOA LYOLEPIS","(Intercept)",-1165.4093578302,405.20853944993,-2.87607304478885,0.0182947149740346,-2082.05475777386,-248.763957886546,"subtropical"
"ANCHOA LYOLEPIS","year",0.533245206043094,0.201077604851555,2.65193732756446,0.0263922582666985,0.0783760619498421,0.988114350136347,"subtropical"
"ANCHOA MITCHILLI","(Intercept)",-724.743169892062,222.90307868721,-3.25138250292659,0.00870010694408982,-1221.40217974239,-228.084160041737,"subtropical"
"ANCHOA MITCHILLI","year",0.313906069871025,0.110585101174706,2.83859278091274,0.0175907898292423,0.0675071094928298,0.56030503024922,"subtropical"
"ANCYLOPSETTA DILECTA","(Intercept)",-242.405911831709,114.819762968638,-2.11118631117467,0.0609204800941777,-498.240286677987,13.4284630145681,"subtropical"
"ANCYLOPSETTA DILECTA","year",0.07388556743326,0.0569635699045693,1.29706701242636,0.223734563154336,-0.053037175818947,0.200808310685467,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","(Intercept)",-545.378430323919,252.348866182657,-2.16120816619465,0.0559952076229761,-1107.64674332018,16.8898826723436,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","year",0.226701318650917,0.125193537309957,1.8108068796686,0.100270238802412,-0.052247265846991,0.505649903148825,"subtropical"
"ANISOTREMUS VIRGINICUS","(Intercept)",-40.8994908760063,29.8742152364107,-1.36905657779951,0.213290026919457,-111.540784721326,29.7418029693132,"subtropical"
"ANISOTREMUS VIRGINICUS","year",-0.0203149016584521,0.0148242549543289,-1.37038264122137,0.212895076483303,-0.0553686944352527,0.0147388911183484,"subtropical"
"ANTENNARIUS STRIATUS","(Intercept)",-28.1270885931729,533.577037423085,-0.052714203611559,0.958997810496642,-1217.01081620328,1160.75663901694,"subtropical"
"ANTENNARIUS STRIATUS","year",-0.0296851204125937,0.264714471488892,-0.112140149518948,0.912931361822426,-0.619505719020007,0.560135478194819,"subtropical"
"APOGON AFFINIS","(Intercept)",213.498477148276,287.124280743119,0.74357513964236,0.474241660205367,-426.25428812408,853.251242420633,"tropical"
"APOGON AFFINIS","year",-0.148384056058644,0.142446070384914,-1.04168585105706,0.322086641865957,-0.465773679796043,0.169005567678755,"tropical"
"APOGON AUROLINEATUS","(Intercept)",298.755467904636,600.65647685484,0.497381580681492,0.629673782567875,-1039.59056487283,1637.1015006821,"tropical"
"APOGON AUROLINEATUS","year",-0.192044921473518,0.297993449240081,-0.644460212005518,0.533780315467533,-0.856015703362743,0.471925860415706,"tropical"
"APOGON PSEUDOMACULATUS","(Intercept)",-101.717809521968,106.14790165574,-0.958264910896315,0.360523637708148,-338.230073257941,134.794454214004,"tropical"
"APOGON PSEUDOMACULATUS","year",0.00842144094190302,0.052661347313891,0.159916929046774,0.876130547018589,-0.108915353006121,0.125758234889927,"tropical"
"APOGON QUADRISQUAMATUS","(Intercept)",-119.099602020226,60.7222381147302,-1.9613836004397,0.0782563039792728,-254.397179943218,16.1979759027661,"tropical"
