"species","term","estimate","std.error","statistic","p.value","conf.low","conf.high","climate_zone"
"ACANTHOSTRACION POLYGONIA","(Intercept)",259.853481363227,290.348561998574,0.894970788126387,0.394107863805813,-396.960597870007,916.667560596461,"tropical"
"ACANTHOSTRACION POLYGONIA","year",-0.115465869539737,0.143969938106616,-0.80201374716317,0.443205431436482,-0.441148496255233,0.210216757175759,"tropical"
"ACANTHOSTRACION QUADRICORNIS","(Intercept)",248.44314114268,67.6747967526394,3.6711324313359,0.00430904618779089,97.6542971978499,399.231985087511,"subtropical"
"ACANTHOSTRACION QUADRICORNIS","year",-0.10962317177666,0.0335618577423824,-3.26630225949101,0.00848319637796161,-0.184403650957298,-0.034842692596021,"subtropical"
"ALECTIS CILIARIS","(Intercept)",157.784992610426,285.310026922069,0.55302995941858,0.609694565580398,-634.362635101204,949.932620322056,"subtropical"
"ALECTIS CILIARIS","year",-0.0646932235386851,0.141499164046406,-0.457198627106152,0.671257696127877,-0.457557884944909,0.328171437867539,"subtropical"
"ALUTERUS HEUDELOTII","(Intercept)",86.9171075692823,130.614106001089,0.665449622788505,0.52244947409369,-208.552527883565,382.38674302213,"tropical"
"ALUTERUS HEUDELOTII","year",-0.028961264738028,0.0647623628760213,-0.447192836269276,0.665304096808201,-0.175463907797756,0.1175413783217,"tropical"
"ALUTERUS MONOCEROS","(Intercept)",-253.826588978945,304.34941642814,-0.833997291527176,0.428480497807263,-955.657601809211,448.00442385132,"subtropical"
"ALUTERUS MONOCEROS","year",0.139942027759539,0.150914385824612,0.927294154197965,0.380898917571925,-0.208067170013813,0.48795122553289,"subtropical"
"ALUTERUS SCHOEPFII","(Intercept)",182.585236231986,69.8481514162204,2.61403104491589,0.0240837172474053,28.8504915050508,336.319980958921,"subtropical"
"ALUTERUS SCHOEPFII","year",-0.0767007280792252,0.0346468408307507,-2.21378706514418,0.0488937825281648,-0.152957910591764,-0.000443545566685868,"subtropical"
"ALUTERUS SCRIPTUS","(Intercept)",53.1461114500633,189.04219139961,0.281133598042774,0.786736438281131,-393.867638907701,500.159861807827,"subtropical"
"ALUTERUS SCRIPTUS","year",-0.0120876391950776,0.0937397810805255,-0.128948873741169,0.901024921880627,-0.233746998877087,0.209571720486932,"subtropical"
"ANCHOA HEPSETUS","(Intercept)",66.2497379446755,63.9160900523913,1.03651111778539,0.32221271583551,-74.4286277517184,206.928103641069,"subtropical"
"ANCHOA HEPSETUS","year",-0.0184667959238384,0.0317043551428173,-0.582468744141043,0.571996861900599,-0.0882476111034542,0.0513140192557774,"subtropical"
"ANCHOA LYOLEPIS","(Intercept)",38.3713679166519,130.32655222759,0.294424791117344,0.780265167957453,-296.643699940699,373.386435774003,"subtropical"
"ANCHOA LYOLEPIS","year",-0.00467553571427839,0.0646872578761252,-0.0722790835133551,0.945182017504294,-0.170959425807768,0.161608354379211,"subtropical"
"ANCHOA MITCHILLI","(Intercept)",-30.6973222766856,65.6772482514995,-0.467396596141416,0.649338678689979,-175.251971033891,113.857326480519,"subtropical"
"ANCHOA MITCHILLI","year",0.0296888585283799,0.0325779440147499,0.91131774659991,0.381665174202075,-0.0420147127943808,0.101392429851141,"subtropical"
"ANCYLOPSETTA DILECTA","(Intercept)",9.84155032406484,31.8350084053568,0.309142381831721,0.76355817526642,-61.0912687572202,80.7743694053499,"subtropical"
"ANCYLOPSETTA DILECTA","year",0.00902365073507247,0.0157917982826018,0.571413753746717,0.580334279169167,-0.0261626685611228,0.0442099700312677,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","(Intercept)",38.5967871850545,56.0095724297353,0.6891105486205,0.505029647505722,-84.6794505558707,161.87302492598,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","year",-0.00488257341115458,0.0277824781561906,-0.175742904707967,0.863689377445296,-0.0660313955435003,0.0562662487211911,"subtropical"
"ANTENNARIUS STRIATUS","(Intercept)",474.3013567694,142.760391587249,3.3223595949548,0.0077166773495273,156.211381749077,792.391331789724,"subtropical"
"ANTENNARIUS STRIATUS","year",-0.221406807046848,0.0708018601414789,-3.12713262906404,0.010742778286304,-0.379163182420975,-0.06365043167272,"subtropical"
"APOGON AFFINIS","(Intercept)",359.891293555836,126.060056501778,2.85491934196268,0.0156583191806239,82.4349799151082,637.347607196564,"tropical"
"APOGON AFFINIS","year",-0.16541981095645,0.0625296822346296,-2.64546060438539,0.0227701643970622,-0.303046713620115,-0.0277929082927844,"tropical"
"APOGON AUROLINEATUS","(Intercept)",200.092472092515,150.008306744733,1.33387594617016,0.209204032361171,-130.073584943117,530.258529128147,"tropical"
"APOGON AUROLINEATUS","year",-0.0854030461712507,0.0744087541573541,-1.14775535672384,0.275419052158662,-0.249175609852494,0.0783695175099927,"tropical"
"APOGON PSEUDOMACULATUS","(Intercept)",207.028153501352,171.736975267229,1.20549551533214,0.253303871225739,-170.962380500845,585.018687503549,"tropical"
"APOGON PSEUDOMACULATUS","year",-0.0890298170362274,0.0851868449800734,-1.04511227123217,0.318394281127149,-0.276524798672396,0.0984651645999411,"tropical"
"APOGON QUADRISQUAMATUS","(Intercept)",178.578416256166,143.640911221475,1.24322809384593,0.248981880598493,-152.658119005049,509.814951517382,"tropical"
"APOGON QUADRISQUAMATUS","year",-0.0754500263104822,0.0712185416137526,-1.05941549210146,0.320346200288668,-0.239680277775006,0.0887802251540412,"tropical"
"ARCHOSARGUS PROBATOCEPHALUS","(Intercept)",209.741129980096,219.305608453565,0.956387442432903,0.393035492295363,-399.148853153227,818.63111311342,"subtropical"
"ARCHOSARGUS PROBATOCEPHALUS","year",-0.0906845823017582,0.108692584640568,-0.834321702824897,0.451028237636723,-0.392463576898361,0.211094412294845,"subtropical"
"ARIOMMA REGULUS","(Intercept)",-154.799016614569,216.105186638352,-0.716313287166136,0.490187809400388,-636.311379079227,326.713345850088,"subtropical"
"ARIOMMA REGULUS","year",0.0907517167688157,0.107177131066257,0.846745157907917,0.416940466226337,-0.148053813004338,0.329557246541969,"subtropical"
"ARIOPSIS FELIS","(Intercept)",163.766041386311,70.3848438026162,2.32672309177199,0.0400999947640228,8.8500446813853,318.682038091238,"subtropical"
"ARIOPSIS FELIS","year",-0.0670074042757002,0.0349130568337444,-1.91926489263855,0.0812540542095499,-0.143850524260208,0.00983571570880726,"subtropical"
"ARIOSOMA BALEARICUM","(Intercept)",595.399156586412,198.891406552597,2.99358914950887,0.0303218846418714,84.1325196381489,1106.66579353467,"subtropical"
"ARIOSOMA BALEARICUM","year",-0.281465331683203,0.0986283022073616,-2.85379881214456,0.0356645804066317,-0.534997453817096,-0.0279332095493102,"subtropical"
"ASTRAPOGON ALUTUS","(Intercept)",156.381839260256,141.320862518728,1.10657291834412,0.31086033746169,-189.417854050848,502.18153257136,"subtropical"
"ASTRAPOGON ALUTUS","year",-0.0636181381775514,0.0700821083320139,-0.907765757790284,0.398992801900084,-0.235102879608382,0.107866603253279,"subtropical"
"BAGRE MARINUS","(Intercept)",132.569077229339,42.4849391515552,3.12037818287627,0.00974341649373815,39.0603566293693,226.077797829308,"subtropical"
"BAGRE MARINUS","year",-0.0513902226181159,0.0210738422512673,-2.43857868941889,0.0329055275677041,-0.0977734366792673,-0.00500700855696439,"subtropical"
"BAIRDIELLA CHRYSOURA","(Intercept)",-489.079449863127,192.523376785178,-2.54036397049514,0.0846525763558186,-1101.77475899386,123.615859267606,"subtropical"
"BAIRDIELLA CHRYSOURA","year",0.257398157670974,0.0956494964500591,2.6910560664098,0.074347513275292,-0.0470012289087635,0.561797544250712,"subtropical"
"BALDWINELLA AUREORUBENS","(Intercept)",-276.620851828275,403.910770038031,-0.684856340429421,0.542602591276515,-1562.0451896001,1008.80348594355,"subtropical"
"BALDWINELLA AUREORUBENS","year",0.151624321296074,0.200571368870963,0.755961940877123,0.50461446159707,-0.486683290513016,0.789931933105165,"subtropical"
"BALISTES CAPRISCUS","(Intercept)",56.0010050019454,95.2628516292329,0.587857743539986,0.568499716522874,-153.671117742008,265.673127745899,"tropical"
"BALISTES CAPRISCUS","year",-0.0136354135780757,0.0472533172397599,-0.2885599228704,0.778283218871399,-0.11763926358789,0.0903684364317383,"tropical"
"BATHYANTHIAS MEXICANA","(Intercept)",175.137931564491,64.1998238274606,2.72801265055152,0.0342762759615038,18.0466217996589,332.229241329324,"subtropical"
"BATHYANTHIAS MEXICANA","year",-0.073238617051611,0.0318727908348971,-2.29784136039393,0.0612815480003118,-0.151228526674586,0.00475129257136343,"subtropical"
"BATHYTOSHIA CENTROURA","(Intercept)",64.752899880802,103.769302465629,0.624008240801749,0.555588809091714,-189.161436107393,318.667235868997,"subtropical"
"BATHYTOSHIA CENTROURA","year",-0.0174851013110804,0.0514695939643355,-0.339717102163197,0.745645899628222,-0.143426660756033,0.108456458133872,"subtropical"
"BELLATOR BRACHYCHIR","(Intercept)",510.81903550483,172.694670089231,2.95793167930944,0.0596430045043236,-38.7724792628325,1060.41055027249,"tropical"
