climate_zone,n.x,num_sig_95CIs_lat,num_sig_pvalues_lat,num_sig_95CIs_lat_shift_north,num_sig_95CIs_lat_shift_south,north_shift_species,south_shift_species,n.y,num_sig_95CIs_long,num_sig_pvalues_long,num_sig_95CIs_long_shift_west,num_sig_95CIs_long_shift_east,west_shift_species,east_shift_species
deep-water,5,0,0,0,0,,,5,0,0,0,0,,
subtropical,205,35,35,0,35,,"ACANTHOSTRACION QUADRICORNIS, ALUTERUS SCHOEPFII, ANTENNARIUS STRIATUS, ARIOSOMA BALEARICUM, BAGRE MARINUS, BELLATOR MILITARIS, CALAMUS BAJONADO, CENTROPRISTIS PHILADELPHICA, CHAETODIPTERUS FABER, CHAETODON SEDENTARIUS, CYCLOPSETTA CHITTENDENI, CYCLOPSETTA FIMBRIATA, DIPLECTRUM FORMOSUM, DOROSOMA PETENENSE, GASTROPSETTA FRONTALIS, GYMNOTHORAX SAXICOLA, HAEMULON PLUMIERII, HYPORTHODUS FLAVOLIMBATUS, MONACANTHUS CILIATUS, MULLUS AURATUS, OPSANUS PARDUS, PEPRILUS BURTI, PRIACANTHUS ARENATUS, PRIONOTUS OPHRYAS, PRIONOTUS RUBIO, ROSTRORAJA TEXANA, SELENE SETAPINNIS, SERRANUS PHOEBE, SPHOEROIDES DORSALIS, SPHOEROIDES SPENGLERI, SPHYRNA TIBURO, SYMPHURUS DIOMEDEANUS, SYMPHURUS PLAGIUSA, SYNODUS POEYI, XYRICHTYS NOVACULA",205,27,27,8,19,"CENTROPRISTIS PHILADELPHICA, CYCLOPSETTA CHITTENDENI, DOROSOMA PETENENSE, ELACATINUS XANTHIPRORA, HYPANUS SAY, LONCHOPISTHUS MICROGNATHUS, SELENE SETAPINNIS, TRACHINOTUS CAROLINUS","ACANTHOSTRACION QUADRICORNIS, ALECTIS CILIARIS, ARIOSOMA BALEARICUM, BELLATOR MILITARIS, CHAETODIPTERUS FABER, DIPLECTRUM FORMOSUM, GYMNOTHORAX SAXICOLA, HYPORTHODUS NIVEATUS, KATHETOSTOMA ALBIGUTTA, LUTJANUS SYNAGRIS, MONACANTHUS CILIATUS, MULLUS AURATUS, PRIONOTUS OPHRYAS, PRIONOTUS RUBIO, PRIONOTUS TRIBULUS, SARDINELLA AURITA, SYMPHURUS DIOMEDEANUS, SYMPHURUS PLAGIUSA, SYNODUS POEYI"
temperate,4,1,1,0,1,,CENTROPRISTIS STRIATA,4,0,0,0,0,,
tropical,74,19,19,0,19,,"APOGON AFFINIS, BOTHUS ROBINSI, CALAMUS ARCTIFRONS, CHILOMYCTERUS SCHOEPFII, CRYPTOTOMUS ROSEUS, DIPLECTRUM BIVITTATUM, ECHIOPHIS INTERTINCTUS, EQUETUS LANCEOLATUS, GOBIESOX STRUMOSUS, HEMANTHIAS VIVANUS, LEPOPHIDIUM JEANNAE, NICHOLSINA USTA, OPHIDION HOLBROOKII, PORICHTHYS PLECTRODON, PRIONOTUS ROSEUS, SCORPAENA BRASILIENSIS, SYACIUM PAPILLOSUM, SYNODUS FOETENS, TRACHINOCEPHALUS MYOPS",74,12,12,1,11,HEMANTHIAS VIVANUS,"CHILOMYCTERUS SCHOEPFII, DIPLECTRUM BIVITTATUM, ECHIOPHIS INTERTINCTUS, GOBIESOX STRUMOSUS, OPHICHTHUS PUNCTICEPS, OPHIDION HOLBROOKII, PORICHTHYS PLECTRODON, RHYNCHOCONGER FLAVUS, SYACIUM PAPILLOSUM, SYNODUS FOETENS, TRACHINOCEPHALUS MYOPS"
