climate_zone,n,num_sig_pvalues_lat,num_sig_pvalues_long,num_sig_lat_shift_north,num_sig_lat_shift_south,num_sig_long_shift_west,num_sig_long_shift_east
deep-water,12,0,0,0,0,0,0
subtropical,241,33,34,19,14,18,16
temperate,5,0,2,0,0,2,0
tropical,107,8,9,4,4,6,3
