"species","term","estimate","std.error","statistic","p.value","conf.low","conf.high","climate_zone"
"ACANTHOSTRACION POLYGONIA","(Intercept)",-230.659576483368,175.704615543736,-1.31276902299674,0.221747195465631,-628.131031072336,166.8118781056,"tropical"
"ACANTHOSTRACION POLYGONIA","year",0.0726618412731916,0.0871234989102606,0.834009678009318,0.425856813257942,-0.124425205834696,0.269748888381079,"tropical"
"ACANTHOSTRACION QUADRICORNIS","(Intercept)",-189.362740355724,47.4246786250393,-3.99291562633265,0.00254728305028651,-295.031509343137,-83.6939713683104,"subtropical"
"ACANTHOSTRACION QUADRICORNIS","year",0.0525325989697095,0.02351924784214,2.23360029718236,0.0495390984659239,0.000128449083143099,0.104936748856276,"subtropical"
"ALECTIS CILIARIS","(Intercept)",-2363.92945702593,598.65998186534,-3.94870131399172,0.0168363399131044,-4026.07603335375,-701.782880698107,"subtropical"
"ALECTIS CILIARIS","year",1.12949308474435,0.296904696606125,3.80422774599199,0.0190343242095072,0.305153493142042,1.95383267634666,"subtropical"
"ALUTERUS HEUDELOTII","(Intercept)",-140.672745097256,105.330430577135,-1.3355375490869,0.214490627796425,-378.946733087942,97.6012428934302,"tropical"
"ALUTERUS HEUDELOTII","year",0.0277592145103314,0.0522259637628048,0.531521345137941,0.607924641003157,-0.090384123499737,0.1459025525204,"tropical"
"ALUTERUS MONOCEROS","(Intercept)",-833.745932571961,1083.17373656256,-0.769725026031232,0.463582459149162,-3331.54904822977,1664.05718308584,"subtropical"
"ALUTERUS MONOCEROS","year",0.369994007855879,0.537101405066385,0.688871792860322,0.510384600420654,-0.868564053251172,1.60855206896293,"subtropical"
"ALUTERUS SCHOEPFII","(Intercept)",-385.395337840102,254.293902729432,-1.5155508398098,0.157828780289493,-945.092444049369,174.301768369164,"subtropical"
"ALUTERUS SCHOEPFII","year",0.149391150832002,0.126137631325358,1.18435037397098,0.261234005779865,-0.128235903844222,0.427018205508227,"subtropical"
"ALUTERUS SCRIPTUS","(Intercept)",-138.077765991698,209.730390703974,-0.658358407325854,0.531356509072067,-634.011334146345,357.855802162949,"subtropical"
"ALUTERUS SCRIPTUS","year",0.0263979985716357,0.103998376050163,0.253830872886926,0.806920467032303,-0.219519083562846,0.272315080706118,"subtropical"
"ANCHOA HEPSETUS","(Intercept)",-126.437890049159,213.479940624141,-0.592270588419215,0.565644747212568,-596.304071340137,343.428291241819,"subtropical"
"ANCHOA HEPSETUS","year",0.0169402394912364,0.105892645308364,0.159975600211948,0.875800091190962,-0.21612790139532,0.250008380377792,"subtropical"
"ANCHOA LYOLEPIS","(Intercept)",-507.296595468777,597.79331194401,-0.848615374800799,0.434830391537241,-2043.97322461692,1029.38003367937,"subtropical"
"ANCHOA LYOLEPIS","year",0.205717254464299,0.296713213580729,0.693320165899278,0.518989819591314,-0.557008342759601,0.968442851688199,"subtropical"
"ANCHOA MITCHILLI","(Intercept)",-339.541560041661,254.611156128577,-1.33356905959845,0.209301413209019,-899.936936274435,220.853816191113,"subtropical"
"ANCHOA MITCHILLI","year",0.122118139800947,0.126294998811832,0.966927756045919,0.354358562055213,-0.155855278377687,0.40009155797958,"subtropical"
"ANCYLOPSETTA DILECTA","(Intercept)",-58.980238309136,155.867626840663,-0.378399540075304,0.713042940066155,-406.274953439716,288.314476821444,"subtropical"
"ANCYLOPSETTA DILECTA","year",-0.016952705934512,0.0773183437087275,-0.219258524191568,0.830859236080305,-0.189228711523156,0.155323299654132,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","(Intercept)",-688.462401398489,277.61547982563,-2.47991359066472,0.0305784091546864,-1299.48995270642,-77.4348500905566,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","year",0.296967403776193,0.137705854008292,2.15653434572442,0.0540292181608387,-0.00612113735380221,0.600055944906189,"subtropical"
"ANTENNARIUS STRIATUS","(Intercept)",-577.481356711662,477.318958991844,-1.20984374459245,0.254161766998254,-1641.01427403103,486.051560607709,"subtropical"
