climate_zone,n.x,num_sig_95CIs_lat,num_sig_pvalues_lat,num_sig_95CIs_lat_shift_north,num_sig_95CIs_lat_shift_south,north_shift_species,south_shift_species,n.y,num_sig_95CIs_long,num_sig_pvalues_long,num_sig_95CIs_long_shift_west,num_sig_95CIs_long_shift_east,west_shift_species,east_shift_species
deep-water,12,5,5,1,4,GYMNURA MICRURA,"CITHARICHTHYS CORNUTUS, FOETOREPUS AGASSIZII, PERISTEDION GRACILE, SYNAGROPS SPINOSA",12,3,3,3,0,"PERISTEDION GRACILE, SYNAGROPS SPINOSA, UROPHYCIS CIRRATA",
subtropical,203,47,47,10,37,"BEMBROPS GOBIOIDES, CENTROPRISTIS OCYURUS, DECAPTERUS MACARELLUS, DIPLECTRUM FORMOSUM, HALIEUTICHTHYS ACULEATUS, HEMICARANX AMBLYRHYNCHUS, LEIOSTOMUS XANTHURUS, PARALICHTHYS ALBIGUTTA, SELENE SETAPINNIS, XYRICHTYS NOVACULA","ARIOPSIS FELIS, BAGRE MARINUS, BATHYANTHIAS MEXICANA, BOLLMANNIA COMMUNIS, BREGMACEROS ATLANTICUS, BROTULA BARBATA, CAULOLATILUS CYANOPS, CAULOLATILUS INTERMEDIUS, CENTROPRISTIS PHILADELPHICA, CYCLOPSETTA CHITTENDENI, DOROSOMA PETENENSE, EPINEPHELUS FLAVOLIMBATUS, ETROPUS CROSSOTUS, GYMNACHIRUS MELAS, GYMNACHIRUS TEXAE, GYMNOTHORAX NIGROMARGINATUS, HIRUNDICHTHYS RONDELETII, HISTRIO HISTRIO, HOPLUNNIS MACRURUS, LUTJANUS CAMPECHANUS, NEOMERINTHE HEMINGWAYI, PAREQUES UMBROSUS, PRIONOTUS ALATUS, PRIONOTUS PARALATUS, PRIONOTUS STEARNSI, RHOMBOPLITES AURORUBENS, ROSTRORAJA TEXANA, SARDINELLA BRASILIENSIS, SAURIDA BRASILIENSIS, SPHOEROIDES PARVUS, SQUATINA DUMERIL, STEPHANOLEPIS HISPIDA, SYMPHURUS CIVITATIUM, SYMPHURUS DIOMEDEANUS, SYMPHURUS PLAGIUSA, UROPHYCIS FLORIDANA, UROPHYCIS REGIA",203,53,53,44,9,"ANCYLOPSETTA QUADROCELLATA, ARCHOSARGUS PROBATOCEPHALUS, ARIOPSIS FELIS, ASTROSCOPUS Y-GRAECUM, BAGRE MARINUS, BATHYANTHIAS MEXICANA, BOLLMANNIA COMMUNIS, BREGMACEROS ATLANTICUS, BROTULA BARBATA, CAULOLATILUS INTERMEDIUS, CENTROPRISTIS PHILADELPHICA, CITHARICHTHYS MACROPS, CYCLOPSETTA CHITTENDENI, ETROPUS CROSSOTUS, GYMNACHIRUS TEXAE, GYMNOTHORAX NIGROMARGINATUS, HIRUNDICHTHYS RONDELETII, HISTRIO HISTRIO, HOPLUNNIS MACRURUS, KATHETOSTOMA ALBIGUTTA, LUTJANUS CAMPECHANUS, NEOMERINTHE HEMINGWAYI, OPHIDION GRAYI, PARALICHTHYS LETHOSTIGMA, PAREQUES UMBROSUS, PEPRILUS BURTI, POLYDACTYLUS OCTONEMUS, PRIONOTUS ALATUS, PRIONOTUS PARALATUS, PRIONOTUS STEARNSI, PRIONOTUS TRIBULUS, RHOMBOPLITES AURORUBENS, ROSTRORAJA TEXANA, SARDINELLA BRASILIENSIS, SAURIDA BRASILIENSIS, SPHOEROIDES PARVUS, SQUATINA DUMERIL, STENOTOMUS CAPRINUS, STEPHANOLEPIS HISPIDA, SYMPHURUS CIVITATIUM, SYMPHURUS DIOMEDEANUS, SYMPHURUS PLAGIUSA, UROPHYCIS FLORIDANA, UROPHYCIS REGIA","CENTROPRISTIS OCYURUS, DECAPTERUS MACARELLUS, HALIEUTICHTHYS ACULEATUS, LARIMUS FASCIATUS, OTOPHIDIUM OMOSTIGMA, PARALICHTHYS ALBIGUTTA, ROSTRORAJA EGLANTERIA, SPHOEROIDES DORSALIS, XYRICHTYS NOVACULA"
temperate,5,0,0,0,0,,,5,1,1,1,0,ORTHOPRISTIS CHRYSOPTERA,
tropical,74,24,24,3,21,"PAREQUES ACUMINATUS, PRIONOTUS ROSEUS, RYPTICUS SAPONACEUS","BELLATOR BRACHYCHIR, CITHARICHTHYS SPILOPTERUS, DIPLECTRUM BIVITTATUM, ENGYOPHRYS SENTA, GOBIONELLUS HASTATUS, GYMNOTHORAX KOLPOS, LEPOPHIDIUM BREVIBARBE, LEPOPHIDIUM JEANNAE, NEOBYTHITES GILLII, OGCOCEPHALUS DECLIVIROSTRIS, OGCOCEPHALUS NASUTUS, OPHIDION HOLBROOKII, OPHIDION WELSHI, PONTINUS LONGISPINIS, PORICHTHYS PLECTRODON, PRIONOTUS LONGISPINOSUS, RHYNCHOCONGER FLAVUS, SAURIDA NORMANI, SERRANUS ATROBRANCHUS, SYACIUM GUNTERI, TRICHOPSETTA VENTRALIS",74,25,25,22,3,"BELLATOR BRACHYCHIR, CITHARICHTHYS SPILOPTERUS, DIPLECTRUM BIVITTATUM, ECHIOPHIS PUNCTIFER, ENGYOPHRYS SENTA, GOBIOIDES BROUSSONNETII, GYMNOTHORAX KOLPOS, LEPOPHIDIUM BREVIBARBE, LEPOPHIDIUM JEANNAE, OGCOCEPHALUS DECLIVIROSTRIS, OGCOCEPHALUS NASUTUS, OPHIDION HOLBROOKII, OPHIDION WELSHI, PONTINUS LONGISPINIS, PRIONOTUS LONGISPINOSUS, RHYNCHOCONGER FLAVUS, SAURIDA NORMANI, SCORPAENA CALCARATA, SERRANUS ATROBRANCHUS, SYACIUM GUNTERI, SYNODUS FOETENS, TRICHOPSETTA VENTRALIS","PAREQUES ACUMINATUS, PRIONOTUS ROSEUS, RYPTICUS SAPONACEUS"
