species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
CITHARICHTHYS GYMNORHINUS,-0.06440466084030078,0.028166106701172356,0.03717385383932626,0.2584736536124868,0.2090385638533192,0.2951060849168697,0.0705559681275928,8.005892674478385e-4,0.5383761416919577,0.5076012178047549
CITHARICHTHYS MACROPS,-0.055256391200956,0.00511762324367853,3.8805668717335875e-13,0.7541744596416318,0.7477053664743063,0.15798739834230294,0.04003716899009798,3.31331335908489e-4,0.29066178375190155,0.27199498858747784
CITHARICHTHYS SPILOPTERUS,-0.011926263582965549,0.00515588441046578,0.026895878124133955,0.13597250754506898,0.11055993423757104,-0.05041848810524216,0.01890201189053664,0.011623062405845501,0.17304746397837625,0.1487253305659756
CLUPEA HARENGUS,-0.013118556701031566,0.005437211040254193,0.25013779398170954,0.8534003068382273,0.7068006136764546,-0.1416664212076598,0.004141361540628704,0.018605128714019554,0.9991461502300669,0.9982923004601338
COELORINCHUS CARIBBAEUS,-0.04746841484947947,0.01647848604086903,0.02363032226433428,0.5424246526871352,0.4770567459281546,-0.1638525761167289,0.0533502485601765,0.018035488516036032,0.5740187603094365,0.51316429749649894
COELORINCHUS CARMINATUS,-0.06699788703546332,0.04628587498035404,0.2847215701231981,0.51162323224702555,0.2674348483705383,-0.19204116085450662,0.140373044695493,0.30471415546300284,0.48342240561353267,0.22513360842029906
COELORINCHUS OCCA,0.00960875839302203,0.01680785510390084,0.625222516720843,0.14045816197306213,-0.2893127570404068,0.02017242117891064,0.03663682076191923,0.6371913549391355,0.13163011293090557,-0.30255483060364163
COELORINCHUS VENTRILUX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CONGER OCEANICUS,-0.01886656837023057,0.01969009529876435,0.35000906099676055,0.04609377456919256,-0.004111816242955202,-0.12543736181794166,0.07414440646320464,0.10702084193442735,0.13091926513703164,0.0851781738284545
CONGER TRIPORICEPS,-0.14828405315616094,0.17781141521356778,0.5574880107169418,0.41018815205470427,-0.17962369589059146,0.5541345514950525,0.02917728777336896,0.033489521603516474,0.9972352428140957,0.9944704856281914
